District,Short_dis,SS,Lat,Long,Comm
Галичский,Галич,Лопаревский,58.301729,42.634385,
Галичский,Галич,Муравьищенский,58.615942,42.424341,Муравьище
Галичский,Галич,Ореховский,58.445356,41.965607,
Галичский,Галич,Пронинский,58.197880,42.185721,Пронино
Галичский,Галич,Степановский,58.495591,42.474682,
Галичский,Галич,Толтуновский,58.441654,42.306868,Толтуново
Галичский,Галич,Унорожский,58.471094,42.096348,Унорож
Галичский,Галич,Челсменский,58.367334,42.274780,Чёлсма
Кадыйский,Кадый,Ведровский,57.800992,42.957697,
Кадыйский,Кадый,Екатеринкинский,57.927601,43.171541,
Кадыйский,Кадый,Завражный,57.461207,43.052218,
Кадыйский,Кадый,Иваньковский,57.977130,43.193712,Иваньково
Кадыйский,Кадый,Котловский,57.807303,42.896046,Котлово
Кадыйский,Кадый,Лубянский,57.472660,43.180677,Лубяны
Кадыйский,Кадый,Низкусьинский,58.000899,43.030515,Низкусь
Кадыйский,Кадый,Паньковский,57.690886,43.208148,
Кадыйский,Кадый,Селищенский,57.842223,43.350522,
Кадыйский,Кадый,Столпинский,57.530999,42.898256,
Кадыйский,Кадый,Чернышевский,57.581544,43.081171,
Кологривский,Кологр,Высоковский,58.621111,44.693056,Высоково
Кологривский,Кологр,Илешевский,58.953352,44.124681,Илешево
Кологривский,Кологр,Ильинский,58.767009,44.587169,Ильинское
Кологривский,Кологр,Лисицинский,58.645264,44.545919,Лисицино
Кологривский,Кологр,Понговский,59.151303,43.738684,куст Понга
Кологривский,Кологр,Суховерховский,58.817444,44.272166,Суховерхово
Кологривский,Кологр,Ужугский,58.941171,44.176460,Ужуга
Кологривский,Кологр,Уромский,58.879263,44.260758,Урма
Кологривский,Кологр,Чежемский,58.716201,44.471754,Большая Чежма
Кологривский,Кологр,Черменинский,59.051115,43.996734,Черменино
Костромской,Костр,Апраксинский,57.850739,41.000700,
Костромской,Костр,Бакшеевский,57.727731,40.744841,
Костромской,Костр,Караваево,57.724679,41.085599,
Костромской,Костр,Котовский,58.015442,41.244170,Котово
Костромской,Костр,Кузнецовский,57.996391,41.220697,
Костромской,Костр,Кузьмищенский,57.855978,41.158291,
Костромской,Костр,Минский,57.684199,41.047825,
Костромской,Костр,Никольский,57.787988,41.148086,
Костромской,Костр,Самсоновский,57.636056,40.860796,
